restaurant_id,meal_time_bucket,candidate_item_id,ctx_score,ctx_rank
1,breakfast,21,0.0892857142857142,1
1,breakfast,12,0.0714285714285714,2
1,breakfast,14,0.0714285714285714,3
1,breakfast,18,0.0714285714285714,4
1,breakfast,22,0.0714285714285714,5
1,breakfast,27,0.0714285714285714,6
1,breakfast,2,0.0535714285714285,7
1,breakfast,9,0.0535714285714285,8
1,breakfast,13,0.0535714285714285,9
1,breakfast,16,0.0535714285714285,10
1,breakfast,29,0.0535714285714285,11
1,breakfast,7,0.0357142857142857,12
1,breakfast,8,0.0357142857142857,13
1,breakfast,10,0.0357142857142857,14
1,breakfast,23,0.0357142857142857,15
1,breakfast,28,0.0357142857142857,16
1,breakfast,30,0.0357142857142857,17
1,breakfast,1,0.0178571428571428,18
1,breakfast,17,0.0178571428571428,19
1,breakfast,19,0.0178571428571428,20
1,breakfast,24,0.0178571428571428,21
1,dinner,10,0.0709382151029748,1
1,dinner,27,0.0663615560640732,2
1,dinner,9,0.0594965675057208,3
1,dinner,16,0.0549199084668192,4
1,dinner,22,0.0526315789473684,5
1,dinner,13,0.0480549199084668,6
1,dinner,18,0.0480549199084668,7
1,dinner,30,0.045766590389016,8
1,dinner,14,0.0434782608695652,9
1,dinner,20,0.0411899313501144,10
1,dinner,1,0.0389016018306636,11
1,dinner,3,0.0366132723112128,12
1,dinner,11,0.0366132723112128,13
1,dinner,21,0.034324942791762,14
1,dinner,29,0.034324942791762,15
1,dinner,24,0.0320366132723112,16
1,dinner,2,0.0274599542334096,17
1,dinner,12,0.0274599542334096,18
1,dinner,17,0.0274599542334096,19
1,dinner,19,0.0274599542334096,20
1,dinner,4,0.0251716247139588,21
1,dinner,6,0.022883295194508,22
1,dinner,7,0.0205949656750572,23
1,dinner,25,0.0183066361556064,24
1,dinner,26,0.0160183066361556,25
1,dinner,28,0.0160183066361556,26
1,dinner,15,0.011441647597254,27
1,dinner,8,0.0091533180778032,28
1,dinner,23,0.0068649885583524,29
1,late-night,13,0.0742857142857142,1
1,late-night,14,0.0742857142857142,2
1,late-night,27,0.0742857142857142,3
1,late-night,18,0.0628571428571428,4
1,late-night,9,0.0571428571428571,5
1,late-night,16,0.0571428571428571,6
1,late-night,7,0.0457142857142857,7
1,late-night,22,0.0457142857142857,8
1,late-night,30,0.0457142857142857,9
1,late-night,2,0.0342857142857142,10
1,late-night,10,0.0342857142857142,11
1,late-night,11,0.0342857142857142,12
1,late-night,15,0.0342857142857142,13
1,late-night,6,0.0285714285714285,14
1,late-night,20,0.0285714285714285,15
1,late-night,21,0.0285714285714285,16
1,late-night,25,0.0285714285714285,17
1,late-night,28,0.0285714285714285,18
1,late-night,29,0.0285714285714285,19
1,late-night,1,0.0228571428571428,20
1,late-night,19,0.0228571428571428,21
1,late-night,26,0.0228571428571428,22
1,late-night,4,0.0171428571428571,23
1,late-night,12,0.0171428571428571,24
1,late-night,23,0.0171428571428571,25
1,late-night,3,0.0114285714285714,26
1,late-night,17,0.0114285714285714,27
1,late-night,8,0.0057142857142857,28
1,late-night,24,0.0057142857142857,29
1,lunch,9,0.0625,1
1,lunch,10,0.0625,2
1,lunch,22,0.0625,3
1,lunch,16,0.0535714285714285,4
1,lunch,18,0.0535714285714285,5
1,lunch,7,0.0491071428571428,6
1,lunch,27,0.0491071428571428,7
1,lunch,29,0.0491071428571428,8
1,lunch,1,0.0446428571428571,9
1,lunch,12,0.0401785714285714,10
1,lunch,2,0.0357142857142857,11
1,lunch,13,0.0357142857142857,12
1,lunch,14,0.0357142857142857,13
1,lunch,17,0.0357142857142857,14
1,lunch,20,0.0357142857142857,15
1,lunch,19,0.03125,16
1,lunch,6,0.0267857142857142,17
1,lunch,21,0.0267857142857142,18
1,lunch,25,0.0267857142857142,19
1,lunch,4,0.0223214285714285,20
1,lunch,11,0.0223214285714285,21
1,lunch,24,0.0223214285714285,22
1,lunch,26,0.0223214285714285,23
1,lunch,28,0.0223214285714285,24
1,lunch,3,0.0178571428571428,25
1,lunch,15,0.0178571428571428,26
1,lunch,30,0.0178571428571428,27
1,lunch,8,0.0089285714285714,28
1,lunch,23,0.0089285714285714,29
2,breakfast,56,0.1454545454545454,1
2,breakfast,36,0.109090909090909,2
2,breakfast,32,0.0727272727272727,3
2,breakfast,33,0.0545454545454545,4
2,breakfast,37,0.0545454545454545,5
2,breakfast,41,0.0545454545454545,6
2,breakfast,45,0.0545454545454545,7
2,breakfast,58,0.0545454545454545,8
2,breakfast,59,0.0545454545454545,9
2,breakfast,31,0.0363636363636363,10
2,breakfast,38,0.0363636363636363,11
2,breakfast,42,0.0363636363636363,12
2,breakfast,43,0.0363636363636363,13
2,breakfast,48,0.0363636363636363,14
2,breakfast,50,0.0363636363636363,15
2,breakfast,52,0.0363636363636363,16
2,breakfast,34,0.0181818181818181,17
2,breakfast,47,0.0181818181818181,18
2,breakfast,54,0.0181818181818181,19
2,breakfast,55,0.0181818181818181,20
2,breakfast,60,0.0181818181818181,21
2,dinner,32,0.0759493670886076,1
2,dinner,45,0.0675105485232067,2
2,dinner,48,0.0675105485232067,3
2,dinner,56,0.0675105485232067,4
2,dinner,36,0.0632911392405063,5
2,dinner,59,0.0632911392405063,6
2,dinner,50,0.0548523206751054,7
2,dinner,33,0.050632911392405,8
2,dinner,41,0.050632911392405,9
2,dinner,46,0.050632911392405,10
2,dinner,37,0.0464135021097046,11
2,dinner,31,0.0421940928270042,12
2,dinner,42,0.0421940928270042,13
2,dinner,40,0.0337552742616033,14
2,dinner,38,0.0295358649789029,15
2,dinner,39,0.0295358649789029,16
2,dinner,54,0.0295358649789029,17
2,dinner,43,0.0253164556962025,18
2,dinner,52,0.0253164556962025,19
2,dinner,60,0.0253164556962025,20
2,dinner,34,0.0126582278481012,21
2,dinner,47,0.0126582278481012,22
2,dinner,55,0.0126582278481012,23
2,dinner,58,0.0126582278481012,24
2,dinner,51,0.0084388185654008,25
2,late-night,32,0.1206896551724138,1
2,late-night,56,0.1034482758620689,2
2,late-night,58,0.0689655172413793,3
2,late-night,37,0.0603448275862069,4
2,late-night,41,0.0603448275862069,5
2,late-night,45,0.0603448275862069,6
2,late-night,59,0.0603448275862069,7
2,late-night,33,0.0517241379310344,8
2,late-night,36,0.0517241379310344,9
2,late-night,31,0.043103448275862,10
2,late-night,38,0.043103448275862,11
2,late-night,54,0.043103448275862,12
2,late-night,46,0.0344827586206896,13
2,late-night,47,0.0344827586206896,14
2,late-night,48,0.0344827586206896,15
2,late-night,43,0.0258620689655172,16
2,late-night,50,0.0258620689655172,17
2,late-night,52,0.0258620689655172,18
2,late-night,40,0.0172413793103448,19
2,late-night,42,0.0172413793103448,20
2,late-night,39,0.0086206896551724,21
2,late-night,55,0.0086206896551724,22
2,lunch,59,0.1048387096774193,1
2,lunch,31,0.0967741935483871,2
2,lunch,50,0.0725806451612903,3
2,lunch,36,0.064516129032258,4
2,lunch,38,0.064516129032258,5
2,lunch,54,0.064516129032258,6
2,lunch,48,0.0564516129032258,7
2,lunch,56,0.0564516129032258,8
2,lunch,37,0.0483870967741935,9
2,lunch,32,0.0403225806451612,10
2,lunch,45,0.0403225806451612,11
2,lunch,52,0.0403225806451612,12
2,lunch,33,0.032258064516129,13
2,lunch,39,0.032258064516129,14
2,lunch,40,0.032258064516129,15
2,lunch,41,0.032258064516129,16
2,lunch,42,0.0241935483870967,17
2,lunch,47,0.0241935483870967,18
2,lunch,58,0.0241935483870967,19
2,lunch,51,0.0161290322580645,20
2,lunch,34,0.0080645161290322,21
2,lunch,46,0.0080645161290322,22
2,lunch,55,0.0080645161290322,23
2,lunch,60,0.0080645161290322,24
