session_id,step_number,item_id
1,1,520
1,2,526
1,3,527
2,2,2774
2,3,2762
3,1,4241
3,2,4251
3,3,4249
4,1,4427
4,2,4423
4,3,4415
5,1,1845
5,2,1854
5,3,1836
6,1,953
6,3,956
6,4,934
7,1,4209
8,2,439
9,1,4956
9,2,4975
9,3,4952
9,4,4966
9,5,4963
10,1,4600
10,2,4616
10,3,4602
11,1,5201
11,2,5215
11,3,5219
12,1,5111
13,1,3787
13,2,3782
14,1,5686
14,2,5694
16,1,4054
17,1,5347
17,2,5357
17,3,5345
18,1,2722
19,2,761
20,1,623
21,1,4536
22,1,5448
22,2,5456
22,3,5459
22,4,5437
22,5,5438
23,1,5875
24,2,933
24,3,935
24,4,940
24,5,960
25,1,646
26,1,5863
26,2,5861
29,1,1487
29,2,1494
29,3,1489
29,4,1485
29,5,1471
29,6,1497
30,1,3544
30,2,3564
31,1,5791
32,1,5750
33,1,102
34,1,319
35,1,957
36,1,3723
37,1,3599
37,2,3593
37,3,3579
37,4,3595
37,5,3575
38,1,2387
38,2,2391
39,2,4742
39,3,4763
39,4,4750
40,1,771
40,2,761
40,3,769
40,4,777
40,5,778
41,1,1830
42,1,1002
43,1,828
43,2,811
44,1,2037
44,2,2035
45,1,3699
45,2,3691
46,1,5299
46,2,5301
46,3,5309
46,4,5285
46,5,5305
47,1,782
48,1,2129
48,2,2128
48,3,2105
49,1,2337
50,1,2036
50,2,2040
50,3,2019
51,1,5088
51,2,5075
51,3,5097
51,4,5091
51,5,5087
52,1,5739
52,2,5752
52,3,5760
52,4,5748
52,5,5753
53,1,64
53,2,67
54,1,5568
54,2,5578
54,3,5562
54,4,5570
54,5,5561
54,6,5573
55,1,5248
56,1,1705
56,2,1696
56,3,1702
56,4,1692
56,5,1686
57,1,469
57,2,477
57,3,466
57,5,470
57,6,468
58,1,4462
59,1,1886
59,2,1865
59,3,1883
60,1,829
60,2,826
60,3,832
61,1,2276
61,2,2275
61,3,2251
61,4,2252
62,1,1656
63,1,4269
64,1,1734
65,1,2292
65,2,2306
65,3,2300
66,1,860
69,1,2914
69,2,2915
69,3,2929
70,1,5438
71,1,3392
71,2,3407
72,2,640
73,1,3754
73,2,3769
73,3,3758
73,4,3751
73,5,3753
74,1,1210
74,2,1227
75,2,5580
75,3,5578
75,4,5562
76,1,5322
76,2,5326
77,1,5245
78,1,5980
78,2,6000
79,2,5841
79,3,5844
79,4,5831
80,1,4826
81,1,2199
82,1,3411
83,1,3249
84,1,1882
85,1,1251
85,2,1243
86,1,3664
86,2,3684
86,3,3674
86,4,3668
86,5,3680
86,6,3671
87,1,3360
88,1,5552
88,2,5579
88,3,5564
88,4,5562
89,1,3534
90,1,3940
90,2,3946
90,3,3945
